,sentence,word,ner
0,0,उस ,o
1,0, समय ,o
2,0, सुन्दर ,B-PERSON
3,0, 'सब ,B-LOCATION
4,0, ओर ,B-PERSON
5,0, से ,o
6,0, सजे ,o
7,0, हुए ,o
8,0, श्वेत ,B-PERSON
9,0, मेघ ,B-PERSON
10,0, के ,o
11,0, तुल्य ,o
12,0, राक्षसों ,B-PERSON
13,0, के ,o
14,0, जो ,o
15,0," पद्माकार, ",o
16,0," स्वस्तिकाकार, ",o
17,0, और ,o
18,0, वर्धमान ,o
19,0, घर ,o
20,0," है, ",o
21,0, उन ,o
22,0, से ,o
23,0, इंका ,o
24,0, जगमन. ,B-PERSON
25,0, कर ,o
26,0, रही ,o
27,0," थी, ",o
28,0, राधा ,B-PERSON
29,0, के ,o
30,0, अर्थ ,o
31,0, वह ,o
32,0, श्रीमान् ,B-PERSON
33,0, घूमता ,o
34,0, हुमा ,B-PERSON
35,0, उसे ,o
36,0, देखता ,o
37,0, भया ,o
38,0, और ,o
39,0, आनन्दित ,o
40,0, होता ,o
41,0, भया ,o
42,0, ।। ,o
43,0," ३, ",B-COUNT
44,0, ४ ,B-COUNT
45,0, वहाँ ,o
46,0, राक्षसों ,B-PERSON
47,0, के ,B-PERSON
48,0, घरों ,o
49,0, में ,o
50,0, उसने ,o
51,0, अप ,B-PERSON
52,0," ""करते ",o
53,0, हुओं ,o
54,0, के ,B-PERSON
55,0, मन्त्र ,o
56,0, मुने ,B-PERSON
57,0, और ,B-PERSON
58,0, स्वाध्याय ,B-PERSON
59,0, में ,o
60,0, रत ,B-PERSON
61,0, राक्षसों ,B-PERSON
62,0, को ,o
63,0, देखा ,o
64,0, तब ,o
65,0, वह ,B-PERSON
66,0, उस ,B-LOCATION
67,0, सुन्दर ,B-PERSON
68,0, पड़ी ,o
69,0, माला ,I-LOCATION
70,0, की ,I-LOCATION
71,0, ओर ,o
72,0, मस्थित ,B-PERSON
73,0," हुआ, ",o
74,0, जो ,B-PERSON
75,0, उत्तम ,B-LOCATION
76,0, स्त्री ,B-PERSON
77,0, की ,B-PERSON
78,0, तरह ,B-LOCATION
79,0, रावण ,B-PERSON
80,0, की ,B-PERSON
81,0, बड़ी ,B-LOCATION
82,0, पारी ,B-PERSON
83,0, थी ,o
84,0, ओर ,o
85,0, शराब ,o
86,0, पीकर ,o
87,0, बन्द ,o
88,0," हुए, ",o
89,0, श्रीद ,B-PERSON
90,0, चमकते ,o
91,0, हुए ,B-PERSON
92,0, पलङ्ग ,B-LOCATION
93,0, -. ,B-PERSON
94,0, पर ,o
95,0, लेटे ,B-PERSON
96,0, हुए ,B-PERSON
97,0, राक्षसाधिपति ,B-PERSON
98,0, को ,B-PERSON
99,0, उस ,B-PERSON
100,0, महारानर ,B-PERSON
101,0, ने ,B-PERSON
102,0, देखा ,o
103,0, जो ,B-PERSON
104,0, अपनी ,B-PERSON
105,0, शोभा ,B-PERSON
106,0, से ,o
107,0, मानों ,o
108,0, उस ,B-PERSON
109,0, उत्तम ,o
110,0, भवन ,I-LOCATION
111,0, को ,o
112,0, शोभायमान ,o
113,0, करती ,o
114,0," थी, ",o
115,0, बद्द ,B-PERSON
116,0, मन्दोदरी ,B-PERSON
117,0," थी, ",B-LOCATION
118,0, जोकि ,B-PERSON
119,0, सुन्दर ,B-PERSON
120,0, रूपवती ,B-PERSON
121,0, वहां ,o
122,0, लेटी ,o
123,0, हुई ,o
124,0, थी ,o
125,1,सो ,o
126,1, मैंने ,o
127,1, शुद्ध ,o
128,1, मन ,o
129,1, से ,o
130,1, रावण ,B-PERSON
131,1, का ,o
132,1, पारा ,B-PERSON
133,1, अन्तःपुर ,B-LOCATION
134,1, ढूंढ ,o
135,1," लिया, ",o
136,1, पर ,o
137,1, जानकी ,B-PERSON
138,1, नहीं ,o
139,1, दीखती ,o
140,1, ) ,B-PERSON
141,1, सीता ,B-PERSON
142,1, के ,o
143,1, न ,B-PERSON
144,1, मिलन ,o
145,1, से ,B-PERSON
146,1, हनुमान ,B-PERSON
147,1, की ,B-PERSON
148,1, उदासी ,B-PERSON
149,1, सब ,B-PERSON
150,1, बद ,B-PERSON
151,1, महावानर ,B-PERSON
152,1, राम ,B-PERSON
153,1, की ,B-PERSON
154,1, इस ,B-PERSON
155,1, प्यारी ,B-PERSON
156,1, को ,o
157,1, न ,o
158,1, देखता ,o
159,1, हुआ ,o
160,1, सोचने ,o
161,1," लगा, ",o
162,1, निमन्देह ,B-PERSON
163,1, मैथिली ,B-LOCATION
164,1, सीता ,B-PERSON
165,1, जीती ,o
166,1, नहीं ,o
167,1," है, ",o
168,1, जिससे ,o
169,1, मुझे ,o
170,1, हूंढने ,o
171,1, हुए ,o
172,1, कहीं ,o
173,1, नहीं ,o
174,1, दीखती ,o
