,word,ner
0,उस ,o
1, समय ,o
2, सुन्दर ,B-PERSON
3, 'सब ,B-LOCATION
4, ओर ,B-PERSON
5, से ,o
6, सजे ,o
7, हुए ,o
8, श्वेत ,B-PERSON
9, मेघ ,B-PERSON
10, के ,o
11, तुल्य ,o
12, राक्षसों ,B-PERSON
13, के ,o
14, जो ,o
15," पद्माकार, ",o
16," स्वस्तिकाकार, ",o
17, और ,o
18, वर्धमान ,o
19, घर ,o
20," है, ",o
21, उन ,o
22, से ,o
23, इंका ,o
24, जगमन. ,B-PERSON
25, कर ,o
26, रही ,o
27," थी, ",o
28, राधा ,B-PERSON
29, के ,o
30, अर्थ ,o
31, वह ,o
32, श्रीमान् ,B-PERSON
33, घूमता ,o
34, हुमा ,B-PERSON
35, उसे ,o
36, देखता ,o
37, भया ,o
38, और ,o
39, आनन्दित ,o
40, होता ,o
41, भया ,o
42, ।। ,o
43," ३, ",B-COUNT
44, ४ ,B-COUNT
45, वहाँ ,o
46, राक्षसों ,B-PERSON
47, के ,B-PERSON
48, घरों ,o
49, में ,o
50, उसने ,o
51, अप ,B-PERSON
52," ""करते ",o
53, हुओं ,o
54, के ,B-PERSON
55, मन्त्र ,o
56, मुने ,B-PERSON
57, और ,B-PERSON
58, स्वाध्याय ,B-PERSON
59, में ,o
60, रत ,B-PERSON
61, राक्षसों ,B-PERSON
62, को ,o
63, देखा ,o
64, तब ,o
65, वह ,B-PERSON
66, उस ,B-LOCATION
67, सुन्दर ,B-PERSON
68, पड़ी ,o
69, माला ,I-LOCATION
70, की ,I-LOCATION
71, ओर ,o
72, मस्थित ,B-PERSON
73," हुआ, ",o
74, जो ,B-PERSON
75, उत्तम ,B-LOCATION
76, स्त्री ,B-PERSON
77, की ,B-PERSON
78, तरह ,B-LOCATION
79, रावण ,B-PERSON
80, की ,B-PERSON
81, बड़ी ,B-LOCATION
82, पारी ,B-PERSON
83, थी ,o
84, ओर ,o
85, शराब ,o
86, पीकर ,o
87, बन्द ,o
88," हुए, ",o
89, श्रीद ,B-PERSON
90, चमकते ,o
91, हुए ,B-PERSON
92, पलङ्ग ,B-LOCATION
93, -. ,B-PERSON
94, पर ,o
95, लेटे ,B-PERSON
96, हुए ,B-PERSON
97, राक्षसाधिपति ,B-PERSON
98, को ,B-PERSON
99, उस ,B-PERSON
100, महारानर ,B-PERSON
101, ने ,B-PERSON
102, देखा ,o
103, जो ,B-PERSON
104, अपनी ,B-PERSON
105, शोभा ,B-PERSON
106, से ,o
107, मानों ,o
108, उस ,B-PERSON
109, उत्तम ,o
110, भवन ,I-LOCATION
111, को ,o
112, शोभायमान ,o
113, करती ,o
114," थी, ",o
115, बद्द ,B-PERSON
116, मन्दोदरी ,B-PERSON
117," थी, ",B-LOCATION
118, जोकि ,B-PERSON
119, सुन्दर ,B-PERSON
120, रूपवती ,B-PERSON
121, वहां ,o
122, लेटी ,o
123, हुई ,o
124, थी ,o
125,सो ,o
126, मैंने ,o
127, शुद्ध ,o
128, मन ,o
129, से ,o
130, रावण ,B-PERSON
131, का ,o
132, पारा ,B-PERSON
133, अन्तःपुर ,B-LOCATION
134, ढूंढ ,o
135," लिया, ",o
136, पर ,o
137, जानकी ,B-PERSON
138, नहीं ,o
139, दीखती ,o
140, ) ,B-PERSON
141, सीता ,B-PERSON
142, के ,o
143, न ,B-PERSON
144, मिलन ,o
145, से ,B-PERSON
146, हनुमान ,B-PERSON
147, की ,B-PERSON
148, उदासी ,B-PERSON
149, सब ,B-PERSON
150, बद ,B-PERSON
151, महावानर ,B-PERSON
152, राम ,B-PERSON
153, की ,B-PERSON
154, इस ,B-PERSON
155, प्यारी ,B-PERSON
156, को ,o
157, न ,o
158, देखता ,o
159, हुआ ,o
160, सोचने ,o
161," लगा, ",o
162, निमन्देह ,B-PERSON
163, मैथिली ,B-LOCATION
164, सीता ,B-PERSON
165, जीती ,o
166, नहीं ,o
167," है, ",o
168, जिससे ,o
169, मुझे ,o
170, हूंढने ,o
171, हुए ,o
172, कहीं ,o
173, नहीं ,o
174, दीखती ,o
175, है ,o
176, यह ,o
177, सोचकर ,o
178, वह ,o
179, फिर ,o
180, हूँढने ,o
181," लगा, ",o
182, और ,o
183, बह ,o
184, मावानर ,B-PERSON
185, एक ,B-COUNT
186, अवकाश ,B-PERSON
187, में ,o
188, फिस!! ,B-PERSON
189, ८. ,B-PERSON
190, संगर ,B-PERSON
191, (१० ,B-COUNT
192, १३ ,B-COUNT
193, हनुमान ,B-PERSON
194, के ,B-PERSON
195, अनेक ,o
196, विध ,o
197, विचार ,o
198, मुहूर्तभर ,o
199, यह ,o
200, सोचकर ,o
201, और ,o
202, मन ,o
203, से ,o
204, निश्चय ,o
205, करके ,o
206, वह ,o
207, महा ,B-PERSON
208, तेजस्वी ,B-PERSON
209, उस ,o
210, मन्दिर ,I-LOCATION
211, के ,I-LOCATION
212, कोट ,I-LOCATION
213, को ,o
214, फांद ,o
215, गया ,o
216, वह ,o
217, वानर ,B-PERSON
218, वहां ,o
219, विचरता ,o
220, हुआ ,o
221, मनोरम ,o
222," मणिभूमिप, ",B-PERSON
223, चान्दी ,B-LOCATION
224, की ,o
225, सी ,o
226," भूमि, ",o
227, और ,o
228, सुनहरी ,o
