,0,1
0,0,"0.005*""भवन"" + 0.005*""राक्षस"" + 0.005*""सीता"" + 0.005*""मा"" + 0.005*""हनुमान"" + 0.005*""वानर"" + 0.005*""सुन्दर"" + 0.005*""रावण"" + 0.005*""भया"" + 0.005*""रत"""
1,1,"0.005*""सीता"" + 0.005*""भवन"" + 0.005*""सक्ती"" + 0.005*""रावण"" + 0.005*""भया"" + 0.005*""सुन्दर"" + 0.005*""वानर"" + 0.005*""राक्षस"" + 0.005*""मान"" + 0.005*""हनुमान"""
2,2,"0.005*""भवन"" + 0.005*""सीता"" + 0.005*""सुन्दर"" + 0.005*""रावण"" + 0.005*""स्त्री"" + 0.005*""वानर"" + 0.005*""राक्षस"" + 0.005*""मान"" + 0.005*""भया"" + 0.005*""हनुमान"""
3,3,"0.020*""भवन"" + 0.017*""सीता"" + 0.014*""भया"" + 0.014*""रावण"" + 0.014*""वानर"" + 0.014*""राक्षस"" + 0.014*""सुन्दर"" + 0.010*""सक्ती"" + 0.010*""स्त्री"" + 0.010*""मान"""
4,4,"0.005*""भवन"" + 0.005*""भया"" + 0.005*""सीता"" + 0.005*""सुन्दर"" + 0.005*""स्त्री"" + 0.005*""वानर"" + 0.005*""मान"" + 0.005*""राक्षस"" + 0.005*""रावण"" + 0.005*""सक्ती"""
5,0,"0.018*""हनुमान"" + 0.014*""मन"" + 0.014*""युक्त"" + 0.014*""सब"" + 0.014*""सीता"" + 0.014*""रावण"" + 0.011*""स्त्री"" + 0.011*""सोच"" + 0.011*""वानर"" + 0.011*""हार"""
6,1,"0.005*""हनुमान"" + 0.005*""रावण"" + 0.005*""युक्त"" + 0.005*""मन"" + 0.005*""सब"" + 0.005*""सीता"" + 0.005*""कह"" + 0.005*""सोच"" + 0.005*""उत्साह"" + 0.005*""अवकाश"""
7,2,"0.005*""सीता"" + 0.005*""युक्त"" + 0.005*""हनुमान"" + 0.005*""मन"" + 0.005*""रावण"" + 0.005*""हार"" + 0.005*""सुन्दर"" + 0.005*""सब"" + 0.005*""कह"" + 0.005*""उत्पन्न"""
8,3,"0.005*""हनुमान"" + 0.005*""रावण"" + 0.005*""सब"" + 0.005*""सीता"" + 0.005*""मन"" + 0.005*""सुन्दर"" + 0.005*""उत्साह"" + 0.005*""युक्त"" + 0.005*""कह"" + 0.005*""हार"""
9,4,"0.005*""हनुमान"" + 0.005*""वानर"" + 0.005*""रावण"" + 0.005*""सब"" + 0.005*""सीता"" + 0.005*""सुन्दर"" + 0.005*""मन"" + 0.005*""सोच"" + 0.005*""कह"" + 0.005*""हार"""
10,0,"0.032*""राम"" + 0.018*""सीता"" + 0.015*""लोक"" + 0.015*""वानर"" + 0.015*""नदी"" + 0.011*""शुभ"" + 0.011*""राज्य"" + 0.011*""शोभा"" + 0.011*""जोकि"" + 0.011*""तीन"""
11,1,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""नदी"" + 0.005*""वानर"" + 0.005*""लोक"" + 0.005*""तीन"" + 0.005*""शोभा"" + 0.005*""राज्य"" + 0.005*""प्रीति"" + 0.005*""शुभ"""
12,2,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""वानर"" + 0.005*""नदी"" + 0.005*""लोक"" + 0.005*""शोभा"" + 0.005*""राज्य"" + 0.005*""युक्त"" + 0.005*""योग्य"" + 0.005*""हीन"""
13,3,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""लोक"" + 0.005*""वानर"" + 0.005*""जोकि"" + 0.005*""तीन"" + 0.005*""नदी"" + 0.005*""सुनहरा"" + 0.005*""शुभ"" + 0.005*""राज्य"""
14,4,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""जोकि"" + 0.005*""नदी"" + 0.005*""लोक"" + 0.005*""तीन"" + 0.005*""वानर"" + 0.005*""शुभ"" + 0.005*""शोभा"" + 0.005*""है।"""
15,0,"0.004*""रावण"" + 0.004*""सीता"" + 0.004*""सुन्दर"" + 0.004*""भूषण"" + 0.004*""राम"" + 0.004*""मान"" + 0.004*""चन्द्र"" + 0.004*""दिखला"" + 0.004*""रोती"" + 0.004*""नेत्रोंवाली"""
16,1,"0.004*""रावण"" + 0.004*""सीता"" + 0.004*""सुन्दर"" + 0.004*""चन्द्र"" + 0.004*""भूषण"" + 0.004*""शोक"" + 0.004*""दुःख"" + 0.004*""नेत्रोंवाली"" + 0.004*""राम"" + 0.004*""मान"""
